year,itl22cd,nc_year,projected_proportion_continuing
2026,TLD1,year_group_11,0.98202362312399
2027,TLD1,year_group_11,0.98202362312399
2028,TLD1,year_group_11,0.98202362312399
2029,TLD1,year_group_11,0.98202362312399
2030,TLD1,year_group_11,0.98202362312399
2031,TLD1,year_group_11,0.98202362312399
2032,TLD1,year_group_11,0.98202362312399
2023,TLD3,year_group_11,0.999347408485892
2024,TLD3,year_group_11,0.999347408485892
2025,TLD3,year_group_11,0.999347408485892
2026,TLD3,year_group_11,0.999347408485892
2027,TLD3,year_group_11,0.999347408485892
2028,TLD3,year_group_11,0.999347408485892
2029,TLD3,year_group_11,0.999347408485892
2030,TLD3,year_group_11,0.999347408485892
2031,TLD3,year_group_11,0.999347408485892
2032,TLD3,year_group_11,0.999347408485892
2023,TLD4,year_group_11,0.991179886053169
2024,TLD4,year_group_11,0.991179886053169
2025,TLD4,year_group_11,0.991179886053169
2026,TLD4,year_group_11,0.991179886053169
2027,TLD4,year_group_11,0.991179886053169
2028,TLD4,year_group_11,0.991179886053169
2029,TLD4,year_group_11,0.991179886053169
2030,TLD4,year_group_11,0.991179886053169
2031,TLD4,year_group_11,0.991179886053169
2032,TLD4,year_group_11,0.991179886053169
2023,TLD6,year_group_11,0.99516571061841
2024,TLD6,year_group_11,0.99516571061841
2025,TLD6,year_group_11,0.99516571061841
2026,TLD6,year_group_11,0.99516571061841
2027,TLD6,year_group_11,0.99516571061841
2028,TLD6,year_group_11,0.99516571061841
2029,TLD6,year_group_11,0.99516571061841
2030,TLD6,year_group_11,0.99516571061841
2031,TLD6,year_group_11,0.99516571061841
2032,TLD6,year_group_11,0.99516571061841
2023,TLD7,year_group_11,0.989829549026059
2024,TLD7,year_group_11,0.989829549026059
2025,TLD7,year_group_11,0.989829549026059
2026,TLD7,year_group_11,0.989829549026059
2027,TLD7,year_group_11,0.989829549026059
2028,TLD7,year_group_11,0.989829549026059
2029,TLD7,year_group_11,0.989829549026059
