year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2017,TLD7,year_group_3,17385,17375,1.00057553956835
2017,TLD7,year_group_4,17124,17079,1.0026348146847
2017,TLD7,year_group_5,17406,17429,0.998680360319008
2017,TLD7,year_group_6,16642,16651,0.999459491922407
2017,TLD7,year_group_7,16416,16695,0.983288409703504
2017,TLD7,year_group_8,15801,15850,0.996908517350158
2017,TLD7,year_group_9,15509,15654,0.990737191772071
2018,TLD7,year_group_1,17526,17426,1.00573855158958
2018,TLD7,year_group_10,15436,15509,0.995293055645109
2018,TLD7,year_group_11,14917,15199,0.98144614777288
2018,TLD7,year_group_12,6113,14488,0.421935394809498
2018,TLD7,year_group_13,5510,6639,0.829944268715168
2018,TLD7,year_group_14,33,5660,0.00583038869257951
2018,TLD7,year_group_2,18071,18040,1.00171840354767
2018,TLD7,year_group_3,17778,17757,1.00118263220139
2018,TLD7,year_group_4,17380,17385,0.999712395743457
2018,TLD7,year_group_5,17110,17124,0.999182434010745
2018,TLD7,year_group_6,17398,17406,0.999540388371826
2018,TLD7,year_group_7,16422,16642,0.986780435043865
2018,TLD7,year_group_8,16383,16416,0.997989766081871
2018,TLD7,year_group_9,15696,15801,0.9933548509588
2019,TLD7,year_group_1,17357,17319,1.00219412206247
2019,TLD7,year_group_10,15763,15696,1.00426860346585
2019,TLD7,year_group_11,15247,15436,0.987755895309666
2019,TLD7,year_group_12,6154,14917,0.412549440235972
2019,TLD7,year_group_13,5231,6113,0.8557173237363
2019,TLD7,year_group_14,37,5510,0.00671506352087114
2019,TLD7,year_group_2,17637,17526,1.0063334474495
2019,TLD7,year_group_3,18086,18071,1.00083005921089
2019,TLD7,year_group_4,17844,17778,1.00371245359433
2019,TLD7,year_group_5,17420,17380,1.00230149597238
2019,TLD7,year_group_6,17147,17110,1.00216247808299
2019,TLD7,year_group_7,17077,17398,0.98154960340269
2019,TLD7,year_group_8,16403,16422,0.998843015467056
2019,TLD7,year_group_9,16264,16383,0.992736373069645
2020,TLD7,year_group_1,17486,17473,1.00074400503634
2020,TLD7,year_group_10,16375,16264,1.00682488932612
2020,TLD7,year_group_11,15616,15763,0.990674364017002
2020,TLD7,year_group_12,6643,15247,0.435692267331278
2020,TLD7,year_group_13,5413,6154,0.879590510237244
2020,TLD7,year_group_14,24,5231,0.00458803288090231
2020,TLD7,year_group_2,17336,17357,0.998790113498877
2020,TLD7,year_group_3,17588,17637,0.99722174973068
2020,TLD7,year_group_4,18070,18086,0.999115337830366
2020,TLD7,year_group_5,17824,17844,0.998879175072854
2020,TLD7,year_group_6,17426,17420,1.00034443168772
2020,TLD7,year_group_7,16772,17147,0.978130285181081
2020,TLD7,year_group_8,17082,17077,1.00029279147391
2020,TLD7,year_group_9,16316,16403,0.99469609217826
2021,TLD7,year_group_1,17499,17312,1.01080175600739
2021,TLD7,year_group_10,16450,16316,1.00821279725423
2021,TLD7,year_group_11,16212,16375,0.990045801526717
2021,TLD7,year_group_12,6354,15616,0.406890368852459
2021,TLD7,year_group_13,5662,6643,0.852325756435345
2021,TLD7,year_group_14,28,5413,0.0051727323111029
2021,TLD7,year_group_2,17590,17486,1.00594761523505
2021,TLD7,year_group_3,17462,17336,1.00726811259806
2021,TLD7,year_group_4,17639,17588,1.00289970434387
2021,TLD7,year_group_5,18171,18070,1.00558937465412
2021,TLD7,year_group_6,17900,17824,1.00426391382406
2021,TLD7,year_group_7,17133,17426,0.983186043842534
2021,TLD7,year_group_8,16829,16772,1.0033985213451
2021,TLD7,year_group_9,17005,17082,0.99549233110877
2022,TLD7,year_group_1,17609,17388,1.01270991488383
2022,TLD7,year_group_10,17239,17005,1.01376065862981
2022,TLD7,year_group_11,16282,16450,0.989787234042553
2022,TLD7,year_group_12,6274,16212,0.386997285961017
2022,TLD7,year_group_13,5447,6354,0.857255272269437
2022,TLD7,year_group_14,32,5662,0.00565171317555634
2022,TLD7,year_group_2,17633,17499,1.00765758043317
2022,TLD7,year_group_3,17727,17590,1.00778851620239
2022,TLD7,year_group_4,17622,17462,1.0091627534074
2022,TLD7,year_group_5,17758,17639,1.00674641419582
2022,TLD7,year_group_6,18356,18171,1.01018105772935
2022,TLD7,year_group_7,17474,17900,0.976201117318436
2022,TLD7,year_group_8,17176,17133,1.00250977645479
2022,TLD7,year_group_9,16722,16829,0.993641927624933
2012,TLD6,year_group_1,10115,10071,1.00436898024029
2012,TLD6,year_group_10,9895,9875,1.0020253164557
2012,TLD6,year_group_11,10287,10296,0.999125874125874
2012,TLD6,year_group_12,4185,9910,0.422300706357215
2012,TLD6,year_group_13,3545,4353,0.814380886744774
2012,TLD6,year_group_14,2,3526,0.000567214974475326
2012,TLD6,year_group_2,9856,9825,1.00315521628499
2012,TLD6,year_group_3,9744,9793,0.994996426018585
2012,TLD6,year_group_4,9592,9599,0.999270757370559
2012,TLD6,year_group_5,9256,9248,1.00086505190311
2012,TLD6,year_group_6,9078,9074,1.00044081992506
2012,TLD6,year_group_7,9112,9117,0.99945157398267
2012,TLD6,year_group_8,9432,9427,1.00053039142887
2012,TLD6,year_group_9,9868,9836,1.00325335502237
2013,TLD6,year_group_1,10576,10502,1.00704627689964
2013,TLD6,year_group_10,9876,9868,1.00081070125659
2013,TLD6,year_group_11,9852,9895,0.995654370894391
2013,TLD6,year_group_12,4287,10287,0.416739574219889
2013,TLD6,year_group_13,3423,4185,0.817921146953405
2013,TLD6,year_group_14,6,3545,0.00169252468265162
2013,TLD6,year_group_2,10140,10115,1.00247157686604
2013,TLD6,year_group_3,9865,9856,1.00091314935065
2013,TLD6,year_group_4,9738,9744,0.999384236453202
2013,TLD6,year_group_5,9573,9592,0.99801918265221
2013,TLD6,year_group_6,9221,9256,0.996218668971478
2013,TLD6,year_group_7,9048,9078,0.996695307336418
2013,TLD6,year_group_8,9113,9112,1.00010974539069
2013,TLD6,year_group_9,9473,9432,1.00434690415606
2014,TLD6,year_group_1,10280,10192,1.00863422291994
2014,TLD6,year_group_10,9487,9473,1.00147788451388
2014,TLD6,year_group_11,9847,9876,0.997063588497367
2014,TLD6,year_group_12,4223,9852,0.428643930166464
2014,TLD6,year_group_13,3416,4287,0.796827618381152
2014,TLD6,year_group_14,8,3423,0.002337131171487
2014,TLD6,year_group_2,10634,10576,1.00548411497731
2014,TLD6,year_group_3,10131,10140,0.999112426035503
