year,itl22cd,mean_projection,upper_pi,lower_pi
2023,TLC2,15469.7242234796,15899.0205969453,15168.7463899731
2024,TLC2,15269.1026933948,16021.8113202728,14803.2679942427
2025,TLC2,14288.0053471895,15116.7897087302,13782.4602794245
2026,TLC2,13936.8644887541,14830.6098721786,13395.2126582076
2027,TLC2,13088.4010785361,14012.670377243,12517.1600629614
2028,TLC2,13097.4825119195,14100.0689258142,12454.487640578
2029,TLC2,13164.4685315096,14257.4997957438,12464.8814137945
2030,TLC2,12734.1939356176,13879.6600938282,11969.038545926
2031,TLC2,12473.6346004553,13697.5551085636,11674.5331663578
2032,TLC2,12218.4066720144,13526.3651293713,11387.899700314
2023,TLK2,12928.6673786518,13198.9768516767,12626.3704619575
2024,TLK2,12684.6642351318,13100.5253406666,12209.6057203523
2025,TLK2,11659.2704637152,12115.9701407723,11157.9134495267
2026,TLK2,11031.6738097204,11515.7750933654,10504.0076866658
2027,TLK2,10692.6695208509,11218.9124304962,10125.8309661569
2028,TLK2,10407.787528936,10972.4473009441,9799.17744421558
2029,TLK2,10248.9984427479,10867.6438327725,9601.67751678968
2030,TLK2,9970.22258680325,10688.2665480461,9269.66703754804
2031,TLK2,9684.19604626862,10420.8546014209,8952.83703395188
2032,TLK2,9406.37505793483,10183.1624983491,8644.7311331396
2023,TLD1,4951.1391640228,5057.93449787524,4829.71424026356
2024,TLD1,4894.74375179952,5066.51688055932,4720.74455182821
2025,TLD1,4371.06886092866,4556.09632241992,4194.85663793888
2026,TLD1,4407.88498128651,4619.95058087848,4217.26315640796
2027,TLD1,4145.42209266689,4367.95003907071,3954.09653328522
2028,TLD1,4114.64357670418,4358.64668960184,3906.71241245617
2029,TLD1,4103.89908327136,4369.7417462763,3878.44095253451
2030,TLD1,3998.52353293419,4300.1124145261,3746.68973966767
2031,TLD1,3911.31934511462,4236.39454010842,3644.66395383831
2032,TLD1,3826.01700189109,4167.42597762422,3545.90113109605
2023,TLF3,7892.70478825101,8190.62232024189,7618.82974039621
