year,itl22cd,mean_projection,upper_pi,lower_pi
2024,TLJ2,27677.5438757733,28545.5036924826,26951.4624370813
2025,TLJ2,26800.6910573228,27744.3005733474,26011.2563141028
2026,TLJ2,25881.8571127251,26851.2779904565,25048.4607819061
2027,TLJ2,25199.9574914035,26247.3907492041,24320.3854671592
2028,TLJ2,25632.8058470863,26789.5872862152,24668.4363738764
2029,TLJ2,24714.3771838272,25982.844367058,23619.665896828
2030,TLJ2,24191.4122070182,25507.4295975452,23024.5966101572
2031,TLJ2,23679.51335439,25066.7169899745,22449.7723741053
2032,TLJ2,23178.4464628346,24632.0010667948,21900.29820897
2023,TLJ3,21296.1306127221,21705.060837772,20826.8171124995
2024,TLJ3,19687.2136843949,20133.001033088,19190.8318665161
2025,TLJ3,19278.3874172846,19772.8056042319,18737.1033939117
2026,TLJ3,18861.966887714,19396.9904604758,18261.5021635992
2027,TLJ3,18319.7453016014,18889.1285533632,17665.6203037743
2028,TLJ3,18406.8881654155,19037.6215695701,17688.6362468094
2029,TLJ3,17824.9818182805,18593.314118984,17081.6804901839
2030,TLJ3,17449.4591699681,18266.9477285788,16650.266013629
2031,TLJ3,17081.8477364235,17939.6590768652,16229.7475454471
2032,TLJ3,16721.9808504179,17618.0026922361,15820.4465480592
2023,TLK3,5558.74154893127,5708.79706516419,5417.71042401265
2024,TLK3,5248.2387152587,5426.10247278023,5077.5545514414
2025,TLK3,4941.24687349958,5128.35467694664,4760.61677294733
2026,TLK3,4749.39691271335,4947.77506090514,4556.59666982451
2027,TLK3,4678.52970109484,4890.78375307812,4472.11594611616
2028,TLK3,4687.70233401434,4922.64454514917,4461.05140017404
2029,TLK3,4485.91504972764,4745.57568850478,4227.53433024257
2030,TLK3,4363.46068873619,4636.29097180487,4090.6758085801
2031,TLK3,4244.34902825502,4528.54364043359,3959.27320921373
2032,TLK3,4128.48882084622,4426.62937631335,3832.09540245003
2023,TLC2,15587.1957918681,16161.3482219104,15253.2451781895
2024,TLC2,14643.1463333822,15225.1224026606,14270.6125795046
2025,TLC2,14339.5723448549,14973.9736318911,13938.6231472449
2026,TLC2,13519.6684320696,14186.8692718003,13092.4179767824
2027,TLC2,13582.3712416451,14311.5234737214,13106.6555902847
2028,TLC2,13705.6432709789,14513.3401326742,13174.3053095425
2029,TLC2,13309.9332210357,14233.5672510997,12718.5034653403
2030,TLC2,13088.9786207141,14078.7902893601,12460.3026724469
2031,TLC2,12871.6920279318,13925.9169973935,12207.8627488145
2032,TLC2,12658.0125510881,13774.5195899546,11963.1581095423
2023,TLK2,13001.0026862874,13329.5536370606,12630.1535388087
2024,TLK2,12009.0267467377,12398.3772771714,11609.3087204977
2025,TLK2,11418.6933524102,11832.5374362485,10989.0274282195
2026,TLK2,11122.4306258807,11568.0600202812,10661.3123423104
2027,TLK2,10879.5402211293,11355.3389273709,10378.2835846038
2028,TLK2,10766.4397553882,11277.8702656244,10224.918519797
2029,TLK2,10525.2908236694,11150.0242739283,9887.57341440224
2030,TLK2,10273.8066051642,10940.9254894939,9599.65071368047
2031,TLK2,10028.3311814008,10748.8612083163,9325.93034694116
2032,TLK2,9788.72098227982,10554.139133636,9049.94687565558
2023,TLD1,4976.46058745505,5086.2203439798,4871.36868665182
2024,TLD1,4456.25753000625,4582.6964524665,4339.2120762436
2025,TLD1,4506.14238873714,4651.21904658814,4372.90661735836
2026,TLD1,4249.47657273432,4399.57343486536,4111.77940064828
2027,TLD1,4229.51848575222,4392.08420735913,4081.57413958211
2028,TLD1,4230.0685315268,4409.09711247904,4069.0251647988
2029,TLD1,4132.78118427427,4351.34604668411,3941.15143170362
2030,TLD1,4053.76021165193,4287.59396966589,3848.23022570227
2031,TLD1,3976.25016202207,4223.31151874096,3755.53942539899
2032,TLD1,3900.22214573407,4159.9928470324,3666.20790547019
