itl22cd,year,acd_year,nc_year,nc_year_number,mean_projection,upper_pi,lower_pi
TLD3,2023,2023/2024,year_group_6,6,37499.8380013941,37610.2395216365,37419.8656265275
TLD3,2024,2024/2025,year_group_6,6,36932.047006509,37288.1408865995,36818.981990947
TLD3,2025,2025/2026,year_group_6,6,36939.007507604,37349.6957128441,36802.9977643356
TLD3,2026,2026/2027,year_group_6,6,37072.3368394265,37663.4630176617,36919.1898195817
TLD3,2027,2027/2028,year_group_6,6,36224.8814226499,36929.0910108212,36064.650011815
TLD3,2028,2028/2029,year_group_6,6,35134.5037734691,35898.602444517,34845.7565803003
TLD3,2029,2029/2030,year_group_6,6,34767.7377639458,35541.2026132912,34456.6370073624
TLD3,2030,2030/2031,year_group_6,6,34048.6476469481,34821.9740936672,33729.2069821053
TLD3,2031,2031/2032,year_group_6,6,32824.0621693444,33589.5862642949,32494.7129686466
TLD3,2032,2032/2033,year_group_6,6,33835.2376141431,34660.9883731058,33474.6410354446
TLD3,2023,2023/2024,year_group_7,7,36635.5533213607,36957.8467963139,36451.2075661086
TLD3,2024,2024/2025,year_group_7,7,36384.1021913309,36730.0349685113,36186.8853051071
TLD3,2025,2025/2026,year_group_7,7,35833.2047293085,36277.3745701515,35638.2532825628
TLD3,2026,2026/2027,year_group_7,7,35839.9581340335,36341.0867007886,35636.1153732637
TLD3,2027,2027/2028,year_group_7,7,35969.3205071176,36608.939206443,35754.4943324962
TLD3,2028,2028/2029,year_group_7,7,35147.0795020912,35906.9118126548,34932.6029565675
TLD3,2029,2029/2030,year_group_7,7,34089.1439501172,34891.9760425951,33795.4553279524
TLD3,2030,2030/2031,year_group_7,7,33733.2903602882,34549.8269522735,33424.5312492167
TLD3,2031,2031/2032,year_group_7,7,33035.595391562,33861.0409130574,32711.6573447185
TLD3,2032,2032/2033,year_group_7,7,31847.4451078862,32666.4353907268,31520.7131883003
TLD3,2023,2023/2024,year_group_8,8,36552.1309331725,36625.7449621134,36487.061201132
TLD3,2024,2024/2025,year_group_8,8,36780.585086014,37114.7432738829,36586.7018231041
TLD3,2025,2025/2026,year_group_8,8,36528.1385185523,36891.2322476234,36321.5079663052
TLD3,2026,2026/2027,year_group_8,8,35975.0601796544,36452.6512167775,35773.6982019478
TLD3,2027,2027/2028,year_group_8,8,35981.8403195619,36502.6650969559,35768.8947311377
TLD3,2028,2028/2029,year_group_8,8,36111.7148086522,36778.3213456456,35887.7614012496
TLD3,2029,2029/2030,year_group_8,8,35286.2187398116,36045.107376773,35060.3587894567
TLD3,2030,2030/2031,year_group_8,8,34224.0950632951,35039.9617147339,33927.6371614755
TLD3,2031,2031/2032,year_group_8,8,33866.8327306081,34697.9869069531,33557.2131220363
TLD3,2032,2032/2033,year_group_8,8,33166.3757472996,34004.8857226985,32833.3972171922
TLD3,2023,2023/2024,year_group_9,9,36004.1673622362,36057.8598583863,35934.1015786734
TLD3,2024,2024/2025,year_group_9,9,36642.8801215178,36734.618698024,36548.8022510853
TLD3,2025,2025/2026,year_group_9,9,36871.9014650652,37223.0978707854,36667.702664436
TLD3,2026,2026/2027,year_group_9,9,36618.8281401338,36982.7388934043,36394.4484051996
TLD3,2027,2027/2028,year_group_9,9,36064.3766552916,36523.4398215873,35853.4769911143
TLD3,2028,2028/2029,year_group_9,9,36071.1736284774,36598.7300943643,35844.4387392953
TLD3,2029,2029/2030,year_group_9,9,36201.3705612712,36865.3878008449,35970.8496588245
TLD3,2030,2030/2031,year_group_9,9,35373.8250059488,36150.6009203144,35142.3605556626
TLD3,2031,2031/2032,year_group_9,9,34309.0643597371,35128.7443048258,33987.5360426175
TLD3,2032,2032/2033,year_group_9,9,33950.915040002,34777.726386514,33614.8474452126
TLD4,2023,2023/2024,year_group_10,10,17557.0389126952,17607.5996990071,17511.7172781102
TLD4,2024,2024/2025,year_group_10,10,17521.2324328382,17590.8153265795,17474.310886383
TLD4,2025,2025/2026,year_group_10,10,18001.8988349701,18085.5906709161,17925.0585465512
TLD4,2026,2026/2027,year_group_10,10,18007.2240167986,18160.2261198872,17880.5637406553
TLD4,2027,2027/2028,year_group_10,10,17957.2861001655,18120.5930825535,17776.7843372948
TLD4,2028,2028/2029,year_group_10,10,17715.7829022821,17899.4743503552,17450.5150042804
TLD4,2029,2029/2030,year_group_10,10,17876.8537526377,18064.3906682988,17557.5499709867
TLD4,2030,2030/2031,year_group_10,10,17891.6666484644,18042.0425888266,17508.3058024453
TLD4,2031,2031/2032,year_group_10,10,17577.5098755779,17688.0432610702,17115.7839911565
TLD4,2032,2032/2033,year_group_10,10,16926.8961694601,17055.7092605012,16443.8220778975
TLD4,2023,2023/2024,year_group_11,11,17253.4682765275,17294.3861123083,17209.8350459959
TLD4,2024,2024/2025,year_group_11,11,17402.1838289163,17467.1509979948,17338.1567449178
TLD4,2025,2025/2026,year_group_11,11,17366.6931662917,17446.5827413714,17304.0322786938
TLD4,2026,2026/2027,year_group_11,11,17843.1200359863,17931.6378078908,17747.7216320109
TLD4,2027,2027/2028,year_group_11,11,17848.3982491043,18009.7573073127,17716.623604587
TLD4,2028,2028/2029,year_group_11,11,17798.9007905862,17962.4611697426,17622.4645281799
TLD4,2029,2029/2030,year_group_11,11,17559.5276784266,17745.5081719287,17293.6657211996
TLD4,2030,2030/2031,year_group_11,11,17719.1778655286,17895.1711999526,17402.7602488586
TLD4,2031,2031/2032,year_group_11,11,17733.8601099262,17889.5870411078,17346.3488835212
TLD4,2032,2032/2033,year_group_11,11,17422.4742355738,17535.4067032329,16949.6358255051
TLD4,2023,2023/2024,year_group_2,2,17456.0146690456,17534.3831465964,17301.4071792989
TLD4,2024,2024/2025,year_group_2,2,16809.897984813,16911.5727335937,16591.3902653817
TLD4,2025,2025/2026,year_group_2,2,17006.7157712569,17120.9648773512,16775.961562753
TLD4,2026,2026/2027,year_group_2,2,16451.5807458423,16570.9623285799,16216.6844055524
TLD4,2027,2027/2028,year_group_2,2,15928.6487234445,16050.2085889473,15689.9479618238
TLD4,2028,2028/2029,year_group_2,2,16522.6016114174,16656.9323179368,16257.9107392874
TLD4,2029,2029/2030,year_group_2,2,16119.2797073118,16387.7327096527,15717.1830814771
TLD4,2030,2030/2031,year_group_2,2,15946.9123217071,16232.1676861915,15519.9651495363
TLD4,2031,2031/2032,year_group_2,2,15776.3881025564,16081.1653877897,15326.2040018788
TLD4,2032,2032/2033,year_group_2,2,15607.6873404317,15933.7330113647,15130.8548993751
TLD4,2023,2023/2024,year_group_3,3,17943.8561046005,18018.1301042493,17819.2198779479
TLD4,2024,2024/2025,year_group_3,3,17628.7829458099,17710.6394443107,17376.9965142602
TLD4,2025,2025/2026,year_group_3,3,16976.2714189835,17063.9374712074,16679.2538773115
TLD4,2026,2026/2027,year_group_3,3,17175.037179833,17270.346642399,16866.2587634752
