year,itl22cd,mean_projection,upper_pi,lower_pi
2027,TLK3,5517.93083168639,5888.9432994249,5122.72103878232
2028,TLK3,5162.56377581731,5558.46134133837,4740.00406959963
2029,TLK3,4816.59888501787,5221.53793518322,4387.04123128296
2030,TLK3,4587.69431985693,5011.38622016662,4141.38885439753
2031,TLK3,4478.34427724123,4929.49069755649,4007.27316844499
2032,TLK3,4446.51940596676,4932.02441487549,3937.35091991244
2023,TLC2,16034.0690654162,16432.7630758803,15599.7207004527
2024,TLC2,15935.4629499847,16472.9758550984,15395.7656262194
2025,TLC2,15620.2925244558,16349.7403873558,14945.5284933814
2026,TLC2,15247.9754717754,16143.669372318,14504.7632421629
2027,TLC2,14938.682666324,16129.050278062,14064.2587799947
2028,TLC2,13875.2099373123,15190.1235559914,12952.6134675818
2029,TLC2,13433.9030277225,14848.2570891968,12444.3399912261
2030,TLC2,12522.553609042,13937.0150613456,11523.040094306
2031,TLC2,12438.3652246724,13978.5711383129,11375.9867798618
2032,TLC2,12409.3199206099,14079.0106528514,11273.9941075353
2023,TLK2,13318.0413701207,13739.9184903663,12934.5098935179
2024,TLK2,13222.6926819483,13670.8197902704,12607.2610061151
2025,TLK2,13027.0849003494,13604.2090867641,12312.0495729572
2026,TLK2,12668.0435214959,13365.6382663381,11805.8294738638
2027,TLK2,12326.9709515441,13121.8314475007,11349.0731060963
2028,TLK2,11237.5176240862,12054.8821061231,10266.0631479422
2029,TLK2,10545.3751223456,11408.5233037505,9541.55514560278
2030,TLK2,10137.4418908242,11044.1852100537,9087.24339231816
2031,TLK2,9786.3842436065,10735.8606694589,8698.2968779782
2032,TLK2,9557.99689798124,10558.2582802076,8418.30270249214
2023,TLD1,5027.20689016642,5164.73492998249,4838.17126128575
2024,TLD1,4992.73899342081,5156.11044950401,4753.98491089853
2025,TLD1,4918.07202901455,5133.86019419223,4650.82088489391
2026,TLD1,4822.88302327607,5071.29729369016,4505.21444058319
2027,TLD1,4740.69464658041,5035.1726027702,4392.84886756474
