gss_code,gss_name,year_ending_date,measure,geography,source,sex,source_url,value
TLJ4,Kent,2002-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,17560
TLJ4,Kent,2003-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,17881
TLJ4,Kent,2004-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,18524
TLJ4,Kent,2005-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,18390
TLJ4,Kent,2006-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,19135
TLJ4,Kent,2007-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,19762
TLJ4,Kent,2008-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,20307
TLJ4,Kent,2009-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,20437
TLJ4,Kent,2010-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,20818
TLJ4,Kent,2011-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,21297
TLJ4,Kent,2012-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,21675
TLJ4,Kent,2013-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,20944
TLJ4,Kent,2014-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,20458
TLJ4,Kent,2014-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,20761
TLJ4,Kent,2015-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,20836
TLJ4,Kent,2015-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,20848
